sample,site,reads_total,is_indel_total,is_indel_percent,is_sub_total,is_sub_percent
24EDIT,NickOT43RH_07B3C758A452415Z0Z,10229,3,0.029328380095806003,11,0.10753739368462212
24EDIT,NickOT44RH_55878713FEA3459Z0Z,34301,7,0.020407568292469397,18,0.05247660418063601
24EDIT,NickOT45RH_FAFD133CE810441Z0Z,40292,15,0.037228233892584,32,0.0794202323041793
24EDIT,NickOT46RH_23B3575E698C474Z0Z,15763,7,0.0444077903952292,15,0.09515955084691968
24EDIT,NickOT47RH_4242BA3B88394FEZ0Z,60909,7,0.011492554466499,48,0.07880608777027938
24EDIT,NickOT48RH_4FF4210F37604C0Z0Z,12040,6,0.0498338870431893,9,0.07475083056478381
24EDIT,NickOT49RH_CCFEDC49EEBD497Z0Z,9936,5,0.050322061191626,12,0.12077294685990281
24EDIT,NickOT50RH_27766B9776D941FZ0Z,27235,20,0.073434918303652,23,0.0844501560492001
24EDIT,NickOT51RH_000B075906564E2Z0Z,235098,198,0.0842201975346416,180,0.0765638159405833
24EDIT,NickOT52RH_DE949C7EEE7B4E5Z0Z,124559,26,0.0208736422097146,107,0.08590306601690509
24EDIT,PegOT01RH_4D0B3A56DF8B48AZ0Z,104878,1,0.0009534888155761,19,0.018116287495947295
24EDIT,PegOT02RH_80F5BC9E15204D6Z0Z,117820,1,0.0008487523340689,83,0.0704464437277193
24EDIT,PegOT03RH_9F88B74678F142AZ0Z,28487,1,0.0035103731526661,12,0.042124477831993204
24EDIT,PegOT04RH_5EFCB0357110466Z0Z,7014,10,0.14257199885942398,1,0.0142571998859424
24EDIT,PegOT05RH_731BA5E34E1543CZ0Z,44187,1,0.0022631090592255,19,0.0429990721252846
24EDIT,PegOT06RH_3FD344CA2C6349BZ0Z,7943,0,0.0,1,0.0125897016240715
24EDIT,PegOT07RH_01D9BD680E1C439Z0Z,40941,0,0.0,24,0.0586209423316472
24EDIT,PegOT08RH_2626A04F7C39432Z0Z,32268,36,0.11156563778356142,17,0.05268377339779299
24EDIT,PegOT09RH_BCE37F58B720440Z0Z,49238,4,0.008123806815873701,17,0.0345261789674635
24EDIT,PegOT10RH_492564EDE38F404Z0Z,7671,0,0.0,17,0.2216138704210662
24EDIT,PegOT11RH_887CD721906445FZ0Z,6873,3,0.0436490615451765,33,0.4801396769969416
24EDIT,PegOT12RH_38B6DBC28872477Z0Z,32553,1,0.0030719134949159,9,0.027647221454243198
24EDIT,PegOT13RH_450C52431CC8476Z0Z,11459,0,0.0,2,0.0174535299764376
24EDIT,PegOT14RH_72498897C44B411Z0Z,3711,0,0.0,3,0.0808407437348421
24EDIT,PegOT15RH_C5D271FD6ABA43DZ0Z,97818,0,0.0,19,0.0194238279253302
24EDIT,PegOT16RH_034D06511A194E9Z0Z,7971,0,0.0,2,0.0250909547108266
24EDIT,PegOT17RH_EA1A967E442745AZ0Z,35105,3,0.008545791197834999,38,0.10824668850591017
24EDIT,PegOT18RH_F8A82B7EDD4C49CZ0Z,65245,10,0.015326844968963,32,0.049045903900681906
24EDIT,PegOT19RH_CA0DB0EEDCC54A4Z0Z,7565,24,0.31725049570389907,7,0.0925313945803038
24EDIT,PegOT20RH_56736BC330F2462Z0Z,30032,0,0.0,23,0.0765849760255722
24EDIT,PegOT21RH_2CF3FDAA244B414Z0Z,20424,5,0.0244810027418721,15,0.0734430082256165
24EDIT,PegOT22RH_29A50A61F0E1412Z0Z,44294,0,0.0,24,0.0541834108457117
24EDIT,PegOT23RH_B7C1378C30E94E5Z0Z,31416,2,0.006366182836771,39,0.12414056531703523
24EDIT,PegOT24RH_CE26C591030640AZ0Z,59968,5,0.008337780149413,4,0.0066702241195304
24EDIT,PegOT25RH_6E609636E2B443BZ0Z,34411,0,0.0,26,0.07555723460521341
24EDIT,PegOT26RH_CB4A29CC056346EZ0Z,51816,1,0.0019299058205959,16,0.030878493129534498
24EDIT,PegOT27RH_EA4FC647D0AA413Z0Z,51649,9,0.017425313171600402,16,0.030978334527289698
24EDIT,PegOT28RH_21E9F9715FE84C4Z0Z,28341,0,0.0,29,0.10232525316678891
24EDIT,PegOT29RH_3B3F42EF4D05485Z0Z,39698,0,0.0,6,0.0151141115421426
24EDIT,PegOT30RH_17861622FB1F429Z0Z,30470,2,0.0065638332786346,0,0.0
24EDIT,PegOT31RH_2471DCF94B86429Z0Z,33651,1,0.0029716798906421,20,0.059433597812842395
24EDIT,PegOT32RH_0B3AE3C58D1B494Z0Z,52475,0,0.0,62,0.11815150071462528
24EDIT,PegOT33RH_851EF8935C3A4B8Z0Z,59751,0,0.0,12,0.020083345885424403
24EDIT,PegOT34RH_EF27571CDD8F477Z0Z,120386,6,0.0049839682355088,29,0.024089179804959903
24EDIT,PegOT35RH_6B42DDD218E046EZ0Z,4914,3,0.0610500610500609,6,0.1221001221001218
24EDIT,PegOT36RH_4F7546848A64487Z0Z,3101,0,0.0,12,0.38697194453402073
24EDIT,PegOT37RH_C404BD2AC9A74E8Z0Z,48345,0,0.0,43,0.08894404798841551
24EDIT,PegOT38RH_7EAAD8FD4EDC46CZ0Z,71,0,0.0,0,0.0
24EDIT,PegOT39RH_01361C97532F4B3Z0Z,10156,0,0.0,9,0.0886175659708542
24EDIT,PegOT40RH_E0D5EBBAC1164EEZ0Z,75103,3,0.0039945142004979,18,0.023967085202987397
24EDIT,PegOT41RH_636F96A380514BEZ0Z,44068,2,0.0045384405918126,37,0.0839611509485338
24EDIT,PegOT42RH_066A73D77867477Z0Z,52819,4,0.0075730324315113,32,0.06058425945209039
24EDIT,PegOT43RH_96959E1A9DE84ECZ0Z,46565,1,0.002147535702781,39,0.0837538924084602
24EDIT,PegOT44RH_02EF30E8A77E4EFZ0Z,24374,0,0.0,20,0.0820546483958309
24EDIT,PegOT45RH_79AD8395EDDB4F9Z0Z,46072,2,0.0043410314290674,29,0.06294495572147879
24EDIT,PegOT46RH_5F9FEFD3873046DZ0Z,74753,1,0.0013377389536205,33,0.044145385469478104
24EDIT,PegOT47RH_65B6C9A5FA084FFZ0Z,22692,0,0.0,17,0.07491627005111909
24EDIT,PegOT48RH_0B1C67CF94B6472Z0Z,18786,0,0.0,7,0.0372617906951983
24EDIT,PegOT50RH_40A3A38B0B574CEZ0Z,30819,1,0.0032447516142639,31,0.10058730004218107
24EDIT,SgOT17RH_C005E7241F5A408Z0Z,107797,6,0.005566017607168799,104,0.09647763852426108
24EDIT,SgOT24RH_068682E0B6C7412Z0Z,4603,0,0.0,1,0.0217249619813165
24EDIT,SgOT29RH_A377C1890FA546CZ0Z,66143,3,0.0045356273528565,4,0.006047503137142101
24EDIT,SgOT31RH_B83DD2512D79488Z0Z,42614,8,0.0187731731355888,100,0.23466466419486115
24EDIT,SgOT32RH_97C5FEA1EF99408Z0Z,38755,2,0.0051606244355566,59,0.15223842084892178
