sample,site,reads_total,is_indel_total,is_indel_percent,is_sub_total,is_sub_percent
36EDIT,PegOT34RH_EF27571CDD8F477Z0Z,61530,3,0.004875670404680401,14,0.0227531285551753
36EDIT,PegOT35RH_6B42DDD218E046EZ0Z,3402,1,0.0293944738389182,3,0.0881834215167546
36EDIT,PegOT36RH_4F7546848A64487Z0Z,2449,1,0.0408329930583911,10,0.4083299305839112
36EDIT,PegOT37RH_C404BD2AC9A74E8Z0Z,39994,1,0.0025003750562584,28,0.0700105015752357
36EDIT,PegOT38RH_7EAAD8FD4EDC46CZ0Z,59,0,0.0,0,0.0
36EDIT,PegOT39RH_01361C97532F4B3Z0Z,7945,0,0.0,9,0.1132787916928882
36EDIT,PegOT40RH_E0D5EBBAC1164EEZ0Z,59651,1,0.00167641783038,14,0.023469849625320297
36EDIT,PegOT41RH_636F96A380514BEZ0Z,32794,1,0.0030493382935902,20,0.0609867658718052
36EDIT,PegOT42RH_066A73D77867477Z0Z,40917,0,0.0,37,0.0904269618984759
36EDIT,PegOT43RH_96959E1A9DE84ECZ0Z,36038,0,0.0,29,0.0804706143515171
36EDIT,PegOT44RH_02EF30E8A77E4EFZ0Z,17037,0,0.0,22,0.129130715501555
36EDIT,PegOT45RH_79AD8395EDDB4F9Z0Z,34511,2,0.00579525368723,22,0.0637477905595315
36EDIT,PegOT46RH_5F9FEFD3873046DZ0Z,55986,2,0.0035723216518414,14,0.02500625156289031
36EDIT,PegOT47RH_65B6C9A5FA084FFZ0Z,16330,0,0.0,7,0.0428658909981626
36EDIT,PegOT48RH_0B1C67CF94B6472Z0Z,13985,0,0.0,4,0.0286020736503396
36EDIT,PegOT50RH_40A3A38B0B574CEZ0Z,23832,0,0.0,31,0.13007720711648108
36EDIT,SgOT17RH_C005E7241F5A408Z0Z,85723,0,0.0,113,0.1318199316402816
36EDIT,SgOT24RH_068682E0B6C7412Z0Z,3357,0,0.0,2,0.0595770032767351
36EDIT,SgOT29RH_A377C1890FA546CZ0Z,50757,1,0.0019701716019465,1,0.0019701716019465
36EDIT,SgOT31RH_B83DD2512D79488Z0Z,31457,1,0.0031789426836634,36,0.11444193661188257
36EDIT,SgOT32RH_97C5FEA1EF99408Z0Z,31803,1,0.0031443574505549,39,0.12262994057164259
36EDIT,SgOT35RH_6DBB94C7B9F845EZ0Z,27642,58,0.20982562766803955,18,0.065118298241805
36EDIT,SgOT36RH_7AED8AAB18A6434Z0Z,53811,6,0.011150136589173,34,0.0631841073386476
36EDIT,SgOT40RH_C4CBDD69B16D4F8Z0Z,22864,0,0.0,4,0.0174947515745276
36EDIT,SgOT42RH_15C6A0899E62401Z0Z,10963,0,0.0,9,0.0820943172489281
36EDIT,SgOT43RH_D1281FACCD2D4FEZ0Z,20938,0,0.0,2,0.0095520106982518
36EDIT,SgOT46RH_3435C6DA25E04A3Z0Z,18275,0,0.0,2,0.0109439124487004
36EDIT,SgOT48RH_1F33DB76216A4FFZ0Z,28403,1,0.0035207548498398,35,0.123226419744393
36EDIT,SgOT50RH_B5205F4C00ED488Z0Z,30514,0,0.0,8,0.026217473946385
